listing_id,provider_id,title,service_type,description,hourly_rate,availability_slots
lst_750016,prov_62644,Move-Out Cleaning,cleaning,Full apartment deep clean including kitchen and bathrooms.,64.87,"[""2026-09-07T15:00:00Z""]"
lst_532902,prov_97721,Local Moving Help,moving,Local moving help for apartments and small homes.,69.43,"[""2026-09-21T13:00:00Z"", ""2026-08-24T15:00:00Z""]"
lst_800985,prov_57410,Move-Out Cleaning,cleaning,Standard weekly house cleaning service.,128.16,"[""2026-08-25T15:00:00Z"", ""2026-10-13T09:00:00Z"", ""2026-09-04T15:00:00Z""]"
lst_553333,prov_15159,Small Home Repairs,handyman,Small repairs including drywall patching and furniture assembly.,50.71,"[""2026-09-05T11:00:00Z"", ""2026-08-31T11:00:00Z""]"
lst_761747,prov_74956,Move-Out Cleaning,cleaning,Standard weekly house cleaning service.,39.62,"[""2026-09-19T15:00:00Z""]"
lst_675304,prov_03269,Small Home Repairs,handyman,General handyman services for minor home repairs.,80.15,"[""2026-10-09T09:00:00Z"", ""2026-09-17T11:00:00Z"", ""2026-09-09T15:00:00Z"", ""2026-09-21T11:00:00Z"", ""2026-08-23T15:00:00Z""]"
lst_183751,prov_24451,Garage Cleanout,custom,Garage cleanout and organization.,120.68,"[""2026-08-23T13:00:00Z"", ""2026-08-24T13:00:00Z"", ""2026-08-26T15:00:00Z"", ""2026-09-07T13:00:00Z"", ""2026-10-05T11:00:00Z""]"
lst_351396,prov_35933,Truck Loading Help,moving,Loading and unloading moving trucks.,127.76,"[""2026-08-25T15:00:00Z"", ""2026-09-21T13:00:00Z"", ""2026-08-21T13:00:00Z"", ""2026-09-08T11:00:00Z"", ""2026-09-02T13:00:00Z""]"
lst_942108,prov_17880,Miscellaneous Task Help,custom,Custom job tailored to specific customer needs.,97.64,"[""2026-08-30T11:00:00Z"", ""2026-10-12T11:00:00Z""]"
lst_703796,prov_77229,Custom Home Project,custom,Garage cleanout and organization.,108.18,"[""2026-09-17T15:00:00Z"", ""2026-10-08T13:00:00Z"", ""2026-10-08T15:00:00Z"", ""2026-09-21T15:00:00Z"", ""2026-08-30T11:00:00Z""]"
lst_812685,prov_18827,Small Home Repairs,handyman,Small repairs including drywall patching and furniture assembly.,128.04,"[""2026-10-17T11:00:00Z""]"
lst_889433,prov_30230,General Handyman Repairs,handyman,Small repairs including drywall patching and furniture assembly.,24.98,"[""2026-10-03T11:00:00Z"", ""2026-10-07T15:00:00Z"", ""2026-09-17T09:00:00Z"", ""2026-10-16T09:00:00Z""]"
lst_021964,prov_72126,General Handyman Repairs,handyman,General handyman services for minor home repairs.,97.58,"[""2026-09-29T11:00:00Z""]"
lst_720351,prov_65395,Furniture Assembly & Mounting,handyman,General handyman services for minor home repairs.,25.66,"[""2026-09-12T13:00:00Z"", ""2026-10-06T09:00:00Z"", ""2026-09-11T09:00:00Z"", ""2026-09-11T11:00:00Z""]"
lst_767730,prov_58174,General Handyman Repairs,handyman,Small repairs including drywall patching and furniture assembly.,28.2,"[""2026-08-22T13:00:00Z"", ""2026-09-01T09:00:00Z"", ""2026-10-09T11:00:00Z"", ""2026-10-15T09:00:00Z""]"
lst_333840,prov_62806,Weekly House Cleaning,cleaning,Standard weekly house cleaning service.,135.63,"[""2026-10-16T15:00:00Z"", ""2026-09-10T11:00:00Z"", ""2026-09-20T15:00:00Z"", ""2026-09-12T13:00:00Z""]"
lst_870685,prov_30636,Weekly House Cleaning,cleaning,Standard weekly house cleaning service.,78.13,"[""2026-09-28T15:00:00Z"", ""2026-09-06T09:00:00Z"", ""2026-08-24T15:00:00Z""]"
lst_386916,prov_70073,Custom Home Project,custom,Miscellaneous home project support.,39.95,"[""2026-09-12T13:00:00Z"", ""2026-09-17T09:00:00Z"", ""2026-09-25T11:00:00Z"", ""2026-09-22T13:00:00Z""]"
lst_362174,prov_35224,Weekly House Cleaning,cleaning,Full apartment deep clean including kitchen and bathrooms.,35.94,"[""2026-09-17T11:00:00Z""]"
lst_840683,prov_30588,Truck Loading Help,moving,Loading and unloading moving trucks.,42.63,"[""2026-09-21T11:00:00Z"", ""2026-08-27T11:00:00Z"", ""2026-10-09T11:00:00Z""]"
lst_243549,prov_18037,Furniture Moving Assistance,moving,Loading and unloading moving trucks.,29.59,"[""2026-09-30T09:00:00Z"", ""2026-09-17T15:00:00Z"", ""2026-10-02T13:00:00Z""]"
lst_185571,prov_58853,Move-Out Cleaning,cleaning,Full apartment deep clean including kitchen and bathrooms.,64.98,"[""2026-10-16T13:00:00Z"", ""2026-10-13T09:00:00Z"", ""2026-09-05T11:00:00Z"", ""2026-09-29T13:00:00Z"", ""2026-08-28T13:00:00Z""]"
lst_606551,prov_69390,Move-Out Cleaning,cleaning,Move-out cleaning for rental apartments.,54.41,"[""2026-10-08T15:00:00Z"", ""2026-09-28T09:00:00Z""]"
lst_462948,prov_62004,Furniture Moving Assistance,moving,Loading and unloading moving trucks.,38.68,"[""2026-10-05T13:00:00Z"", ""2026-09-14T11:00:00Z"", ""2026-10-07T13:00:00Z""]"
lst_512141,prov_09849,Truck Loading Help,moving,Loading and unloading moving trucks.,60.65,"[""2026-09-20T15:00:00Z"", ""2026-09-20T13:00:00Z""]"
lst_403425,prov_02586,General Handyman Repairs,handyman,General handyman services for minor home repairs.,37.41,"[""2026-10-05T13:00:00Z"", ""2026-10-07T15:00:00Z"", ""2026-09-12T09:00:00Z""]"
lst_451505,prov_72961,Furniture Assembly & Mounting,handyman,TV mounting and shelf installation.,142.06,"[""2026-09-01T15:00:00Z"", ""2026-09-21T09:00:00Z""]"
lst_013446,prov_53619,Truck Loading Help,moving,Furniture moving and heavy lifting assistance.,85.95,"[""2026-09-23T15:00:00Z"", ""2026-10-04T13:00:00Z"", ""2026-09-19T09:00:00Z"", ""2026-09-12T13:00:00Z"", ""2026-10-02T09:00:00Z""]"
lst_957760,prov_49775,Weekly House Cleaning,cleaning,Full apartment deep clean including kitchen and bathrooms.,88.15,"[""2026-10-08T15:00:00Z"", ""2026-08-29T11:00:00Z"", ""2026-08-22T09:00:00Z"", ""2026-09-01T09:00:00Z"", ""2026-09-17T13:00:00Z""]"
lst_442564,prov_87755,Furniture Assembly & Mounting,handyman,General handyman services for minor home repairs.,144.37,"[""2026-10-17T13:00:00Z"", ""2026-09-23T13:00:00Z"", ""2026-10-02T13:00:00Z"", ""2026-09-28T15:00:00Z""]"
lst_125292,prov_22733,Deep Apartment Cleaning,cleaning,Move-out cleaning for rental apartments.,107.96,"[""2026-10-16T15:00:00Z"", ""2026-10-11T13:00:00Z"", ""2026-10-08T11:00:00Z"", ""2026-09-07T09:00:00Z""]"
lst_273424,prov_25961,Local Moving Help,moving,Local moving help for apartments and small homes.,26.6,"[""2026-09-03T11:00:00Z"", ""2026-08-23T09:00:00Z"", ""2026-09-15T13:00:00Z"", ""2026-10-04T15:00:00Z"", ""2026-08-26T11:00:00Z""]"
lst_059498,prov_41936,Local Moving Help,moving,Loading and unloading moving trucks.,116.03,"[""2026-10-17T11:00:00Z""]"
lst_489087,prov_17820,General Handyman Repairs,handyman,General handyman services for minor home repairs.,56.99,"[""2026-09-22T15:00:00Z"", ""2026-10-15T11:00:00Z"", ""2026-10-13T15:00:00Z"", ""2026-09-06T11:00:00Z"", ""2026-10-10T09:00:00Z""]"
lst_376703,prov_26166,Truck Loading Help,moving,Furniture moving and heavy lifting assistance.,31.28,"[""2026-08-31T11:00:00Z""]"
lst_490342,prov_35523,Deep Apartment Cleaning,cleaning,Standard weekly house cleaning service.,59.88,"[""2026-10-02T13:00:00Z"", ""2026-10-03T09:00:00Z"", ""2026-09-29T13:00:00Z"", ""2026-09-12T11:00:00Z""]"
lst_211764,prov_54562,Truck Loading Help,moving,Local moving help for apartments and small homes.,88.32,"[""2026-10-04T13:00:00Z"", ""2026-08-24T09:00:00Z"", ""2026-08-23T11:00:00Z"", ""2026-09-25T11:00:00Z"", ""2026-08-30T13:00:00Z""]"
lst_846748,prov_40145,Furniture Assembly & Mounting,handyman,TV mounting and shelf installation.,22.83,"[""2026-10-11T09:00:00Z"", ""2026-10-06T11:00:00Z"", ""2026-09-26T09:00:00Z""]"
lst_030990,prov_90477,Furniture Assembly & Mounting,handyman,General handyman services for minor home repairs.,149.07,"[""2026-09-17T15:00:00Z"", ""2026-09-13T09:00:00Z"", ""2026-10-02T11:00:00Z"", ""2026-09-30T13:00:00Z""]"
lst_193198,prov_79474,Local Moving Help,moving,Furniture moving and heavy lifting assistance.,65.0,"[""2026-09-01T09:00:00Z"", ""2026-08-22T15:00:00Z"", ""2026-09-28T09:00:00Z""]"
lst_205468,prov_20457,Weekly House Cleaning,cleaning,Full apartment deep clean including kitchen and bathrooms.,126.05,"[""2026-09-09T13:00:00Z"", ""2026-09-04T13:00:00Z"", ""2026-10-15T11:00:00Z"", ""2026-10-01T11:00:00Z"", ""2026-09-15T13:00:00Z""]"
lst_255716,prov_50363,Weekly House Cleaning,cleaning,Standard weekly house cleaning service.,39.4,"[""2026-08-31T15:00:00Z"", ""2026-09-04T11:00:00Z"", ""2026-09-08T11:00:00Z"", ""2026-10-10T15:00:00Z""]"
lst_959512,prov_26980,Local Moving Help,moving,Furniture moving and heavy lifting assistance.,69.03,"[""2026-09-27T09:00:00Z"", ""2026-10-14T09:00:00Z"", ""2026-09-01T11:00:00Z"", ""2026-09-19T11:00:00Z"", ""2026-10-14T13:00:00Z""]"
lst_392177,prov_79673,Furniture Assembly & Mounting,handyman,General handyman services for minor home repairs.,80.61,"[""2026-09-08T13:00:00Z"", ""2026-09-12T15:00:00Z"", ""2026-09-18T09:00:00Z""]"
lst_877323,prov_08705,Furniture Assembly & Mounting,handyman,General handyman services for minor home repairs.,39.81,"[""2026-09-03T15:00:00Z"", ""2026-09-25T11:00:00Z"", ""2026-09-20T13:00:00Z""]"
lst_289641,prov_71749,Custom Home Project,custom,Miscellaneous home project support.,24.4,"[""2026-10-11T09:00:00Z""]"
lst_748270,prov_53666,Local Moving Help,moving,Local moving help for apartments and small homes.,89.19,"[""2026-08-20T09:00:00Z"", ""2026-09-22T13:00:00Z"", ""2026-09-23T13:00:00Z"", ""2026-08-21T15:00:00Z""]"
lst_891011,prov_58233,Local Moving Help,moving,Loading and unloading moving trucks.,49.36,"[""2026-09-30T09:00:00Z""]"
lst_035001,prov_44758,Custom Home Project,custom,Custom job tailored to specific customer needs.,47.48,"[""2026-09-19T13:00:00Z"", ""2026-08-22T09:00:00Z"", ""2026-10-02T13:00:00Z"", ""2026-10-16T09:00:00Z"", ""2026-08-31T13:00:00Z""]"
lst_021889,prov_25586,Move-Out Cleaning,cleaning,Full apartment deep clean including kitchen and bathrooms.,122.76,"[""2026-09-21T13:00:00Z""]"
lst_048379,prov_37029,Move-Out Cleaning,cleaning,Standard weekly house cleaning service.,76.14,"[""2026-10-01T15:00:00Z"", ""2026-08-25T13:00:00Z"", ""2026-10-10T11:00:00Z"", ""2026-10-04T09:00:00Z"", ""2026-08-25T13:00:00Z""]"
lst_176731,prov_03321,Small Home Repairs,handyman,TV mounting and shelf installation.,86.62,"[""2026-08-21T09:00:00Z""]"
lst_305332,prov_30999,Small Home Repairs,handyman,General handyman services for minor home repairs.,42.04,"[""2026-09-08T13:00:00Z"", ""2026-09-20T11:00:00Z"", ""2026-08-24T11:00:00Z""]"
lst_444022,prov_65113,Small Home Repairs,handyman,General handyman services for minor home repairs.,124.53,"[""2026-09-17T13:00:00Z"", ""2026-09-16T11:00:00Z"", ""2026-09-08T13:00:00Z""]"
lst_664133,prov_76973,Furniture Moving Assistance,moving,Furniture moving and heavy lifting assistance.,34.81,"[""2026-09-01T11:00:00Z"", ""2026-10-02T09:00:00Z"", ""2026-10-05T15:00:00Z"", ""2026-10-04T11:00:00Z"", ""2026-09-17T13:00:00Z""]"
lst_808761,prov_32143,Garage Cleanout,custom,Miscellaneous home project support.,72.1,"[""2026-10-18T15:00:00Z"", ""2026-09-23T09:00:00Z"", ""2026-10-09T13:00:00Z"", ""2026-10-03T09:00:00Z"", ""2026-08-26T11:00:00Z""]"
lst_636096,prov_37940,Move-Out Cleaning,cleaning,Move-out cleaning for rental apartments.,92.54,"[""2026-09-03T15:00:00Z"", ""2026-09-12T15:00:00Z"", ""2026-09-18T11:00:00Z"", ""2026-09-11T09:00:00Z"", ""2026-09-19T09:00:00Z""]"
lst_290873,prov_37530,Furniture Moving Assistance,moving,Local moving help for apartments and small homes.,59.03,"[""2026-08-21T13:00:00Z""]"
lst_661921,prov_15924,Move-Out Cleaning,cleaning,Standard weekly house cleaning service.,71.43,"[""2026-10-15T11:00:00Z"", ""2026-09-17T15:00:00Z"", ""2026-09-13T09:00:00Z"", ""2026-10-04T11:00:00Z"", ""2026-09-02T13:00:00Z""]"
lst_780181,prov_34285,Weekly House Cleaning,cleaning,Move-out cleaning for rental apartments.,71.03,"[""2026-09-11T13:00:00Z""]"
lst_868726,prov_01131,Weekly House Cleaning,cleaning,Standard weekly house cleaning service.,97.54,"[""2026-09-13T15:00:00Z"", ""2026-08-31T15:00:00Z"", ""2026-09-29T11:00:00Z"", ""2026-09-24T11:00:00Z"", ""2026-09-20T13:00:00Z""]"
lst_134030,prov_18954,Small Home Repairs,handyman,General handyman services for minor home repairs.,83.53,"[""2026-09-25T09:00:00Z""]"
lst_720227,prov_57455,Furniture Moving Assistance,moving,Loading and unloading moving trucks.,126.94,"[""2026-10-07T15:00:00Z""]"
lst_591872,prov_94384,Local Moving Help,moving,Local moving help for apartments and small homes.,125.39,"[""2026-10-03T13:00:00Z"", ""2026-10-14T15:00:00Z"", ""2026-08-30T11:00:00Z"", ""2026-10-09T11:00:00Z"", ""2026-10-11T11:00:00Z""]"
lst_855519,prov_25959,Weekly House Cleaning,cleaning,Full apartment deep clean including kitchen and bathrooms.,149.02,"[""2026-10-03T11:00:00Z"", ""2026-09-04T11:00:00Z""]"
lst_787645,prov_24468,Small Home Repairs,handyman,General handyman services for minor home repairs.,110.31,"[""2026-09-18T15:00:00Z"", ""2026-09-09T09:00:00Z"", ""2026-10-14T09:00:00Z""]"
lst_746305,prov_24228,Local Moving Help,moving,Loading and unloading moving trucks.,130.81,"[""2026-10-16T09:00:00Z"", ""2026-08-22T09:00:00Z"", ""2026-09-29T15:00:00Z""]"
lst_091494,prov_99838,Weekly House Cleaning,cleaning,Standard weekly house cleaning service.,30.71,"[""2026-08-23T15:00:00Z"", ""2026-09-29T13:00:00Z""]"
lst_774002,prov_05540,Furniture Moving Assistance,moving,Loading and unloading moving trucks.,37.18,"[""2026-09-03T15:00:00Z""]"
lst_081323,prov_88660,Move-Out Cleaning,cleaning,Full apartment deep clean including kitchen and bathrooms.,77.21,"[""2026-09-29T11:00:00Z"", ""2026-10-17T15:00:00Z""]"
lst_642811,prov_73472,Move-Out Cleaning,cleaning,Move-out cleaning for rental apartments.,98.0,"[""2026-09-07T09:00:00Z"", ""2026-10-13T13:00:00Z"", ""2026-09-02T11:00:00Z"", ""2026-10-06T15:00:00Z"", ""2026-09-07T09:00:00Z""]"
lst_772326,prov_08033,Miscellaneous Task Help,custom,Garage cleanout and organization.,67.5,"[""2026-10-07T15:00:00Z"", ""2026-10-08T09:00:00Z""]"
lst_002007,prov_56547,Small Home Repairs,handyman,TV mounting and shelf installation.,39.85,"[""2026-09-08T09:00:00Z""]"
